Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
11/8/2020,ID-KI,Kalimantan Timur,201,6,213,-18,15606,505,12808,2293,Province,,Kalimantan Timur,Indonesia,Asia,Kalimantan,UTC+08:00,,7,3,103,197,841,129067,3552191,27.52,116.4684405,0.45385803,56.58,4393.34,1.69,142.17,3.24%,82.07%,0.76,2.00
11/8/2020,ID-KU,Kalimantan Utara,3,0,10,-7,893,10,783,100,Province,,Kalimantan Utara,Indonesia,Asia,Kalimantan,UTC+08:00,,4,1,53,35,447,75468,648407,8.59,116.2188791,2.891012621,4.63,1377.22,0.00,15.42,1.12%,87.68%,0.27,1.00
11/8/2020,ID-BB,Kepulauan Bangka Belitung,16,0,9,7,696,7,574,115,Province,,Kepulauan Bangka Belitung,Indonesia,Asia,Sumatera,UTC+07:00,,6,1,47,82,309,16424,1379767,84.01,106.5499324,-2.447444127,11.60,504.43,0.00,5.07,1.01%,82.47%,1.23,1.00
11/8/2020,ID-KR,Kepulauan Riau,84,5,82,-3,4357,108,3011,1238,Province,,Kepulauan Riau,Indonesia,Asia,Sumatera,UTC+07:00,,5,2,75,142,275,8202,1929400,235.24,108.261746,3.916346,43.54,2258.21,2.59,55.98,2.48%,69.11%,1.95,1.25
11/8/2020,ID-LA,Lampung,60,6,6,48,2165,98,1267,800,Province,,Lampung,Indonesia,Asia,Sumatera,UTC+07:00,,13,2,228,205,2435,34624,9095591,262.70,105.0214366,-4.916792975,6.60,238.03,0.66,10.77,4.53%,58.52%,1.54,6.00
11/8/2020,ID-MA,Maluku,40,0,13,27,3964,49,3413,502,Province,,Maluku,Indonesia,Asia,Maluku,UTC+09:00,,9,2,118,35,1198,46914,1847097,39.37,129.576792,-3.192572,21.66,2146.07,0.00,26.53,1.24%,86.10%,4.00,0.00
11/8/2020,ID-MU,Maluku Utara,0,0,0,0,2240,75,1946,219,Province,,Maluku Utara,Indonesia,Asia,Maluku,UTC+09:00,,8,2,116,118,1063,31983,1307803,40.89,127.5391072,0.212036949,0.00,1712.80,0.00,57.35,3.35%,86.88%,0.00,1.00
11/8/2020,ID-NB,Nusa Tenggara Barat,46,2,61,-17,4195,229,3544,422,Province,,Nusa Tenggara Barat,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,8,2,117,145,995,18572,5270247,283.77,117.5086257,-8.606998866,8.73,795.98,0.38,43.45,5.46%,84.48%,1.44,
11/8/2020,ID-NT,Nusa Tenggara Timur,10,0,15,-5,778,11,573,194,Province,,Nusa Tenggara Timur,Indonesia,Asia,Nusa Tenggara,UTC+08:00,,21,1,309,327,3026,48718,5411321,111.07,121.592271,-8.682205,1.85,143.77,0.00,2.03,1.41%,73.65%,0.59,1.00
11/8/2020,ID-PA,Papua,33,2,50,-19,9308,135,4891,4282,Province,,Papua,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,28,1,560,110,5411,319036,4340348,13.60,138.69603,-4.66620953,7.60,2144.53,0.46,31.10,1.45%,52.55%,,
11/8/2020,ID-PB,Papua Barat,52,0,151,-99,4501,69,3880,552,Province,,Papua Barat,Indonesia,Asia,Papua,UTC+09:00,Daerah Khusus,12,1,218,95,1742,102955,1140701,11.08,132.9762624,-2.045160182,45.59,3945.82,0.00,60.49,1.53%,86.20%,0.96,1.00
11/8/2020,ID-RI,Riau,158,4,161,-7,15742,366,13174,2202,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,26.01,2591.66,0.66,60.26,2.32%,83.69%,0.96,0.80
11/8/2020,ID-SR,Sulawesi Barat,9,0,2,7,1235,16,875,344,Province,,Sulawesi Barat,Indonesia,Asia,Sulawesi,UTC+08:00,,6,,69,73,575,16787,1559984,92.93,119.3450194,-2.461746053,5.77,791.67,0.00,10.26,1.30%,70.85%,0.06,0.00
